date,model,parameters,avg_loss, avg_dice_score, avg_iou, avg_recall, avg_precision, avg_f1, std_dice_score, std_iou
2022-09-13,AttentionUnet,1905321,0.9947124911248684,0.07252603852006802,0.0471990319665718,0.9966152157783509,0.9936929920911789,0.996615216255188,0.16327904725762726,0.11371402127106847
2022-09-13,CustomAttentionUnet,57355373,0.9494188634157181,0.11093809367274204,0.07511806877413676,0.9966126649379731,0.9932926499247551,0.9966126650571823,0.2073114725659106,0.15037569829966332
2022-09-13,ResUnetPlusPlus,14481412,1.020934741050005,0.09335073092005844,0.05721337890923324,0.9964971505403518,0.9942294760346413,0.9964971509575844,0.1539017450057116,0.10293450038036199
2022-09-13,ResUnet,13040705,0.9978257763236761,0.08672837058785664,0.05937455378544978,0.9965757548809051,0.9934273129105567,0.9965757549405098,0.19245159529062644,0.14050583653638438
2022-09-13,UnetDeep4,43585537,1.027932326644659,0.043226495437310435,0.03049090608494973,0.9966126848459244,0.9932938457131386,0.9966126850247383,0.1498336062190622,0.11017851121806978
2022-09-13,UNet,1511124,0.9823550526052713,0.08775999766192084,0.059568379438298145,0.9966126649379731,0.9932926499247551,0.9966126650571823,0.1893511369405856,0.1393080466502133
2022-09-13,AttentionUnet,1905321,0.9616174937784672,0.13722341430133933,0.08906289198811118,0.993377312819163,0.9880675162871678,0.9933773124217987,0.2036517673926553,0.14180145958757756
2022-09-13,CustomAttentionUnet,57355373,0.921182871311903,0.18267277319167985,0.12392373254603474,0.9933442956209183,0.9868262326717376,0.9933442956209183,0.2431447454623268,0.1759275646339523
2022-09-13,ResUnetPlusPlus,14481412,1.0749407029151916,0.1151781934458344,0.07081619025627438,0.9933003165324529,0.9882881126801173,0.9933003167311351,0.1650101246237239,0.11167525727705364
2022-09-13,ResUnet,13040705,1.0196081242958706,0.13247195077206186,0.09246919699149418,0.9932863003015518,0.9870882020394007,0.9932862997055054,0.23380454565688882,0.17304278548659718
2022-09-13,UnetDeep4,43585537,1.0454013128081958,0.08278627216662507,0.05999649879063171,0.9933442956209183,0.9868262326717376,0.9933442956209183,0.2082382966024718,0.15531837606022408
2022-09-13,UNet,1511124,0.9549549080928167,0.15993538260360132,0.10472721061287399,0.9933442956209183,0.9868262326717376,0.9933442956209183,0.2142414451364813,0.15443702119353883
2022-09-13,AttentionUnet,1905321,0.9206946855038405,0.1675492356332605,0.1103136968731107,0.9938325104117394,0.9895106649398804,0.9938325098156929,0.22199362492471522,0.15697667168070745
2022-09-13,CustomAttentionUnet,57355373,0.9169426418095827,0.18697946576366176,0.12831296346248508,0.9937779024243355,0.9876756033301354,0.9937779024243355,0.2506156214065118,0.18311281156403444
2022-09-13,ResUnetPlusPlus,14481412,1.0951696208119392,0.10464703679086992,0.0671885274564629,0.9937993264198304,0.9881814247369767,0.9937993267178535,0.1808807033930202,0.12611175048315088
2022-09-13,ResUnet,13040705,1.0070471554994582,0.14364706169730604,0.10225629218024329,0.9937699311971664,0.9880024534463883,0.9937699294090271,0.24851249059456818,0.18679353840609658
2022-09-13,UnetDeep4,43585537,1.0718994122743606,0.05985460814070612,0.04253841111494896,0.9937779024243355,0.9876756033301354,0.9937779024243355,0.17692978996770917,0.12849849348509088
2022-09-13,UNet,1511124,0.9599239361286164,0.15830087785825278,0.10426484770063364,0.9937779024243355,0.9876756033301354,0.9937779024243355,0.21595697229557098,0.157853060694155
2022-09-13,AttentionUnet,1905321,0.9616174931824207,0.13722341367422286,0.08906289164960966,0.993377312819163,0.9880675162871678,0.9933773124217987,0.20365176735079474,0.14180145981703005
2022-09-13,CustomAttentionUnet,57355373,0.921182871311903,0.18267277319167985,0.12392373254603474,0.9933442956209183,0.9868262326717376,0.9933442956209183,0.2431447454623268,0.1759275646339523
2022-09-13,ResUnetPlusPlus,14481412,1.0749407029151916,0.1151781934458344,0.07081619025627438,0.9933003165324529,0.9882881126801173,0.9933003167311351,0.1650101246237239,0.11167525727705364
2022-09-13,ResUnet,13040705,1.0196081242958706,0.13247195077206186,0.09246919699149418,0.9932863003015518,0.9870882020394007,0.9932862997055054,0.23380454565688882,0.17304278548659718
2022-09-13,UnetDeep4,43585537,1.0454013128081958,0.08278627216662507,0.05999649879063171,0.9933442956209183,0.9868262326717376,0.9933442956209183,0.2082382966024718,0.15531837606022408
2022-09-13,UNet,1511124,0.9549549064040184,0.15993538362842996,0.10472721185535493,0.9933442956209183,0.9868262326717376,0.9933442956209183,0.21424144763967387,0.15443702325291078
2022-09-13,AttentionUnet,1905321,0.983284596838057,0.1121785757519277,0.07250536121756582,0.9943910445272922,0.9897775636613368,0.9943910445272922,0.18972728187652316,0.13102598317741068
2022-09-13,CustomAttentionUnet,57355373,0.9266917638853193,0.1650255833444799,0.11219526073738983,0.9943669791519641,0.9888466009497643,0.9943669794499874,0.23828114510513107,0.1723490635926729
2022-09-13,ResUnetPlusPlus,14481412,1.0484643964469433,0.1150852080708671,0.07042656476737087,0.9943314531445503,0.9900815412402153,0.99433145403862,0.16276417319869063,0.10920751135880272
2022-09-13,ResUnet,13040705,1.0121311985701322,0.11820759110998205,0.08177395401299593,0.9943228846788407,0.9890492667257785,0.9943228846788407,0.22039922749856886,0.16291528000241684
2022-09-13,UnetDeep4,43585537,1.0329153256863355,0.07798852745287171,0.055091327608750976,0.9943669791519641,0.9888466009497643,0.9943669794499874,0.19541380150990223,0.1433639963081824
2022-09-13,UNet,1511124,0.9738038355857134,0.12863050333315237,0.0838807894646402,0.9943669791519641,0.9888466009497643,0.9943669794499874,0.2004529947376317,0.14267828382286935
